timestep	mean	median
460378	985.0655406180189	985.5484692786258
466378	980.3245852872375	980.9696736579654
472378	980.4830043494352	980.9081361481401
478378	971.580009471887	973.6864845463556
484378	972.4932049020675	972.5789957885484
490378	973.4436492125894	973.8144761542537
496378	972.5524895502273	972.4611234748608
502378	971.9847100466784	970.600239138607
508378	970.850772158116	971.6671429765076
514378	969.3450953203868	969.5975754878265
520378	964.9107541557111	966.6586554670964
526378	959.3233145777452	961.1799011138589
532378	950.3561188030071	954.5427587905695
538378	928.3237818422983	931.5405444599121
544378	906.6362701574315	927.8172241598224
550378	921.3501528951292	920.9908855090891
556378	898.3938117611012	907.2024982356081
562378	878.0089838022537	890.7288169476394
568378	823.5324416489036	874.3688582429437
574378	640.1823859635009	684.3223819547566
580378	-7704.932360261337	584.7144340719117
586378	187.3471841471068	210.22216177979874
592378	322.80308265146505	555.0182662812123
597389	-622.3489724757128	-593.6070752625532
603389	-1555.7341998208624	-1608.5593808349886
609389	-2796.4721954176316	-2878.222193921584
615389	-3313.434792521695	-3341.8412605943204
621389	-2159.406258714044	-2164.8151452855172
627389	-971.1898984528567	-969.2729565927027
633389	-608.8330725712751	-616.8103377322697
639389	-1070.761446971365	-1061.1936912408078
645389	-1222.4394659458198	-1215.9954224012213
651389	-1053.2043818195548	-1036.8148138237216
657389	-861.6219267382648	-860.574437300909
663389	-705.4447928635662	-699.6140489574625
669389	-1388.7228829358899	-1570.8780027677878
675389	-1309.7138078856703	-1698.5686152640033
681389	-886.6199844446292	-1437.138009224228
687389	-118.12016510680174	-33.87038145000974
693389	383.20018746638857	459.9393002232719
699389	651.140207551028	647.691717184686
705389	840.963607272695	857.465789741708
711389	695.4512971649986	763.2339113802936
717389	835.1647834855751	839.636399128391
722586	-113.76644783257991	-328.9765134943816
727821	161.97730958925095	180.54783688071174
733669	659.3489652672321	660.2240761318806
739669	677.976325569801	660.3498549624186
745669	882.4108243296289	875.3267886512081
751669	933.1831649019857	930.6994529068713
757669	810.0688397288252	810.8696609299407
763669	907.7049314562461	906.6537724647965
769669	918.2982737744571	921.7906328517564
775669	797.1842733479574	795.4019289453528
781669	704.1385753486888	701.7296727585797
787669	900.7886643798684	900.5779981643881
793669	955.624463055764	955.1120119771105
799669	996.4279524631211	995.9451983101999
805669	985.1160313014298	982.9651913724992
811669	976.3435380692761	975.8011960157089
817669	970.1466333851547	971.2384704730778
823669	954.456376911834	956.1633316532243
829669	948.8538319179313	947.8243564099982
835669	937.5558733831706	936.8638780299855
841669	931.0090375032987	930.9986814432609
847669	952.7759411882837	952.7200850562542
853669	950.2251041969532	948.3187316844494
859669	962.2570290962833	961.9294228374915
865669	958.2848779439091	962.1935293050497
871669	959.269783189414	959.9382247879305
877669	962.1846856850683	961.7294711719494
883669	953.3621479767298	954.7671801422567
889669	881.2476251361959	949.9706620228048
895669	951.7309780338492	944.4896236304565
901669	959.5928874987876	959.7013064261329
907669	962.2465673686154	960.239165812329
913669	956.8512571372175	958.3938086512794
919669	940.8152106809014	928.8329524291001
925669	936.4160602875465	936.595158502831
931669	944.1405693082955	950.4701177274403
937669	935.6830958490111	935.7550679121596
943669	938.0024526053123	936.0777173542156
949669	947.7373720090648	946.2514207392435
955669	964.1256553948394	963.2459870424518
961669	969.2778337592208	969.1231461069697
967669	974.6353579586737	974.6197819532533
973669	944.4735914585874	940.808041692295
979669	946.8166710790344	945.6627328418172
985669	943.0838796577384	944.0187290200028
991669	947.3051299281342	946.8302018871444
997669	962.2400524141516	962.1101444450755
